group,id,category,price_ar,price_en,hasSizes,image,name_ar,name_en,shortDesc_ar,shortDesc_en,fullDesc_ar,fullDesc_en
paintings,1,painting,39.99,39.99,true,images/plates/1/1.webp,لوحة يا شام,Ya Sham,دمشق في قلبي، قطعة فنية على جداري.,"Damascus in my heart, a piece of art on my wall",لوحة فنية صُنعت بـ 3 طبقات من الشغف لتبقى تذكاراً دائماً لأجمل الروابط. قطعة ديكور هادئة بلمسة وردية، تليق ببيتك وتُسعد قلبك.,"A piece of art crafted with 3 layers of passion to be a lasting reminder of the most beautiful bonds. A serene décor piece with a pink touch, fit for your home and designed to delight your heart"
paintings,2,painting,39.99,39.99,true,images/plates/2/2.webp,لوحة الحمد لله,Alhamdulillah,لوحة، تذكرك بجمال الامتنان في كل حين.,"A beautiful plaque, to remind you of gratitude at all times.",قطعة فنية روحانية صُنعت بتقنية الطبقات الثلاثية الأبعاد، لتضيء جدران بيتك بذكر الله والسكينة. تصميم يجمع عظمة الخط مع عمق الزخرفة، لتكون تذكيراً يومياً بجمال الامتنان.,"A spiritual art piece crafted with 3D layered technology, designed to illuminate your walls with the remembrance of God and tranquility. A design that merges the grandeur of calligraphy with the depth of ornamentation, serving as a daily reminder of the beauty of gratitude"
paintings,3,painting,39.99,39.99,true,images/plates/3/3.webp, لوحة آية الكرسي ,Ayatul Kursi,أعظم آية، بتصميم فني يخلد جمالها.,"The greatest verse, in an artistic design that immortalizes its beauty.",قطعة ديكور تحمل أعظم آية في القرآن، صُنعت بتقنية الطبقات البارزة، لتضفي على مساحتك سكينة ومهابة. تصميم فريد يمزج بين عظمة الخط ودفء الخشب، لتكون بيتك في حفظ الله.,"A décor piece carrying the greatest verse in the Qur'an, crafted with striking layered (3D) technology to bring tranquility and reverence to your space. A unique design blending the grandeur of calligraphy with the warmth of wood, to keep your home under God's protection."
paintings,4,painting,0,0,false,images/plates/4/custom-design.webp,لوحة مخصصة حسب طلبك,Custom Design Painting,صمم لوحتك الخاصة — آية، حديث، دعاء، قصيدة، اسم أو أي تصميم تختاره، بالمقاس اللي يناسبك.,"Design your own painting — verse, hadith, prayer, poem, name or anything you'd like, in your chosen size.",لوحة مفصلة على ذوقك بالكامل. اختر نوع النص اللي بدك إياه — آية قرآنية، حديث شريف، دعاء، قصيدة، اسم أو تصميم خاص — اكتب لنا ما تريد، حدد المقاس، ونحن نصنعها لك قطعة يدوية فريدة. السعر النهائي يصلك على واتساب بعد مراجعة طلبك.,"A painting tailored entirely to your taste. Choose the type of text — a Qur'anic verse, a noble hadith, a prayer, a poem, a name or any custom design — write what you want, pick the size, and we'll craft it as a unique handmade piece for you. Final price is sent to you on WhatsApp after we review your request."
cups,101,cup,15.99,15.99,false,images/cup/1/1.webp,كوب قهوة سيراميك,Ceramic Coffee Mug,كوب سيراميك يدوي بطلاء زجاجي مميز.,Ceramic Coffee Mug,كوب قهوة من السيراميك مصنوع يدويًا بطلاء زجاجي مميز. آمن لغسالة الصحون ومريح في الإمساك.,كوب قهوة من السيراميك مصنوع يدويًا بطلاء زجاجي مميز. آمن لغسالة الصحون ومريح في الإمساك.
cups,102,cup,24.99,24.99,false,images/cup/2/2.webp,كوب سفر معزول,Travel Tumbler,كوب سفر من الستانلس ستيل معزول. يحافظ على المشروبات ساخنة لمدة 6 ساعات.,كوب سيراميك يدوي بطلاء زجاجي مميز.,كوب سفر من الستانلس ستيل معزول. يحافظ على المشروبات ساخنة لمدة 6 ساعات.,كوب قهوة من السيراميك مصنوع يدويًا بطلاء زجاجي مميز. آمن لغسالة الصحون ومريح في الإمساك.
cups,103,cup,34.99,34.99,false,images/cup/3/3.webp,طقم أكواب شاي زجاجية,Glass Tea Cup Set,كوب سيراميك يدوي بطلاء زجاجي مميز.,كوب سيراميك يدوي بطلاء زجاجي مميز.,كوب قهوة من السيراميك مصنوع يدويًا بطلاء زجاجي مميز. آمن لغسالة الصحون ومريح في الإمساك.,كوب قهوة من السيراميك مصنوع يدويًا بطلاء زجاجي مميز. آمن لغسالة الصحون ومريح في الإمساك.
cups,104,cup,12.99,12.99,false,images/cup/4/4.webp,فنجان إسبريسو فني,Artistic Espresso Cup,كوب سيراميك يدوي بطلاء زجاجي مميز.,كوب سيراميك يدوي بطلاء زجاجي مميز.,كوب قهوة من السيراميك مصنوع يدويًا بطلاء زجاجي مميز. آمن لغسالة الصحون ومريح في الإمساك.,كوب قهوة من السيراميك مصنوع يدويًا بطلاء زجاجي مميز. آمن لغسالة الصحون ومريح في الإمساك.
cups,105,cup,19.99,19.99,false,images/cup/5/5.webp,كوب متغير اللون,Color Changing Mug,كوب سيراميك يدوي بطلاء زجاجي مميز.,كوب سيراميك يدوي بطلاء زجاجي مميز.,كوب قهوة من السيراميك مصنوع يدويًا بطلاء زجاجي مميز. آمن لغسالة الصحون ومريح في الإمساك.,كوب قهوة من السيراميك مصنوع يدويًا بطلاء زجاجي مميز. آمن لغسالة الصحون ومريح في الإمساك.
cups,106,cup,18.99,18.99,false,images/cup/6/6.webp,كوب منزل السنافر,Bamboo Eco Cup,ابدأ صباحك بابتسامة مع كوب منزل السنافر الساحر. تفاصيله الدقيقة وألوانه الدافئة تجعله الهدية المثالية لمحبي القطع الفريدة والمميزة,كوب سيراميك يدوي بطلاء زجاجي مميز.,استمتع بتجربة فريدة مع كوب ل السنافر المصنوع من الخزف عالي الجودة والمزين بتفاصيل ثلاثية الأبعاد تنبض بالحياة. يتميز هذا الكوب بتصميم ساحر يجسد كوخ الفطر الأحمر الريفي مع تفاصيل الباب والنباتات الخضراء، مما يجعله قطعة فنية جذابة تزين مكتبك وتضفي دفئاً وسحراً خاصاً على مشروباتك الساخنة في كل مرة تستخدمه,كوب قهوة من السيراميك مصنوع يدويًا بطلاء زجاجي مميز. آمن لغسالة الصحون ومريح في الإمساك.
cups,107,cup,15,15,false,images/cup/7/7.webp,كوب منزل السنافر 7,Cup 7,كوب سيراميك يدوي بتصميم مميز.,Handmade ceramic cup with unique design.,كوب سيراميك مصنوع يدوياً بتصميم فني فريد. مثالي للمشروبات الساخنة والباردة.,A beautifully crafted handmade ceramic cup with a unique artistic design. Perfect for hot and cold drinks.
